SegmentID,X1,Y1,X2,Y2,X3,Y3,MinSpeed1,MaxSpeed1,MinSpeed2,MaxSpeed2,MinSpeed3,MaxSpeed3
38,0,0,0,0,109.110631425,11.8299536916,0,0,0,0,0,70
37,109.110760824,11.8324620776,0,0,0,0,0,70,0,0,0,0
39,0,0,109.110662303,11.8313105237,0,0,0,0,0,70,0,0
39,0,0,0,0,109.110723562,11.8318853388,0,0,0,0,0,70
39,109.110662303,11.8313105237,0,0,0,0,0,70,0,0,0,0
32,0,0,109.110257775,11.8274729052,0,0,0,0,0,70,0,0
40,0,0,0,0,109.110499833,11.8293872998,0,0,0,0,0,70
35,109.110850424,11.832531811,0,0,0,0,0,70,0,0,0,0
36,0,0,109.110855961,11.8326091565,0,0,0,0,0,70,0,0
41,0,0,0,0,109.110853192,11.8325704837,0,0,0,0,0,70
37,109.110845106,11.832457523,0,0,0,0,0,70,0,0,0,0
35,0,0,109.110850424,11.832531811,0,0,0,0,0,70,0,0
42,0,0,0,0,109.110847765,11.832494667,0,0,0,0,0,70
36,109.110772912,11.8326133865,0,0,0,0,0,70,0,0,0,0
35,0,0,109.110764376,11.8325280307,0,0,0,0,0,70,0,0
43,0,0,0,0,109.110768644,11.8325707086,0,0,0,0,0,70
35,109.110764376,11.8325280307,0,0,0,0,0,70,0,0,0,0
37,0,0,109.110760824,11.8324620776,0,0,0,0,0,70,0,0
44,0,0,0,0,109.1107626,11.8324950542,0,0,0,0,0,70
45,109.10961266,11.839131618,0,0,0,0,0,70,0,0,0,0
45,0,0,109.109692484,11.8391102327,0,0,0,0,0,70,0,0
45,0,0,0,0,109.109652572,11.8391209254,0,0,0,0,0,70
46,109.109661536,11.8389885585,0,0,0,0,0,70,0,0,0,0
46,0,0,109.109581521,11.8390104126,0,0,0,0,0,70,0,0
46,0,0,0,0,109.109621529,11.8389994855,0,0,0,0,0,70
46,109.109581521,11.8390104126,0,0,0,0,0,70,0,0,0,0
47,0,0,109.110247858,11.835795623,0,0,0,0,0,70,0,0
47,0,0,0,0,109.109418148,11.8373050832,0,0,0,0,0,70
47,109.110247858,11.835795623,0,0,0,0,0,70,0,0,0,0
36,0,0,109.110772912,11.8326133865,0,0,0,0,0,70,0,0
48,0,0,0,0,109.110844126,11.834267535,0,0,0,0,0,70
49,109.109449904,11.8378049836,0,0,0,0,0,70,0,0,0,0
46,0,0,109.109661536,11.8389885585,0,0,0,0,0,70,0,0
49,0,0,0,0,109.109522097,11.8384020276,0,0,0,0,0,70
36,109.110855961,11.8326091565,0,0,0,0,0,70,0,0,0,0
49,0,0,109.109449904,11.8378049836,0,0,0,0,0,70,0,0
50,0,0,0,0,109.110610655,11.8353295491,0,0,0,0,0,70
45,109.10961266,11.839131618,0,0,0,0,0,70,0,0,0,0
46,0,0,109.109581521,11.8390104126,0,0,0,0,0,70,0,0
51,0,0,0,0,109.109596762,11.8390711025,0,0,0,0,0,70
46,109.109661536,11.8389885585,0,0,0,0,0,70,0,0,0,0
45,0,0,109.109692484,11.8391102327,0,0,0,0,0,70,0,0
52,0,0,0,0,109.10967701,11.8390493956,0,0,0,0,0,70
53,109.109060067,11.8458445948,0,0,0,0,0,70,0,0,0,0
53,0,0,109.109135188,11.8458720506,0,0,0,0,0,70,0,0
53,0,0,0,0,109.109097628,11.8458583227,0,0,0,0,0,70
54,109.109187111,11.8457454201,0,0,0,0,0,70,0,0,0,0
54,0,0,109.109111197,11.8457157283,0,0,0,0,0,70,0,0
54,0,0,0,0,109.109149154,11.8457305742,0,0,0,0,0,70
55,109.105665265,11.8578395738,0,0,0,0,0,70,0,0,0,0
25,0,0,109.105404886,11.8606585934,0,0,0,0,0,70,0,0
55,0,0,0,0,109.105590764,11.8592537261,0,0,0,0,0,70
56,109.105761529,11.8536905175,0,0,0,0,0,70,0,0,0,0
55,0,0,109.105665265,11.8578395738,0,0,0,0,0,70,0,0
56,0,0,0,0,109.105728996,11.855765572,0,0,0,0,0,70
57,109.105927553,11.8517302081,0,0,0,0,0,70,0,0,0,0
56,0,0,109.105761529,11.8536905175,0,0,0,0,0,70,0,0
57,0,0,0,0,109.105770808,11.8527026527,0,0,0,0,0,70
58,109.106388839,11.850843828,0,0,0,0,0,70,0,0,0,0
57,0,0,109.105927553,11.8517302081,0,0,0,0,0,70,0,0
58,0,0,0,0,109.106145056,11.8512802496,0,0,0,0,0,70
59,109.106707587,11.8503133576,0,0,0,0,0,70,0,0,0,0
58,0,0,109.106388839,11.850843828,0,0,0,0,0,70,0,0
59,0,0,0,0,109.106547441,11.8505781247,0,0,0,0,0,70
60,109.107342788,11.8492934776,0,0,0,0,0,70,0,0,0,0
59,0,0,109.106707587,11.8503133576,0,0,0,0,0,70,0,0
60,0,0,0,0,109.107022191,11.849801529,0,0,0,0,0,70
61,109.107796437,11.8485475251,0,0,0,0,0,70,0,0,0,0
60,0,0,109.107342788,11.8492934776,0,0,0,0,0,70,0,0
61,0,0,0,0,109.107569206,11.848920263,0,0,0,0,0,70
62,109.108593536,11.847104358,0,0,0,0,0,70,0,0,0,0
61,0,0,109.107796437,11.8485475251,0,0,0,0,0,70,0,0
62,0,0,0,0,109.108224629,11.8478422045,0,0,0,0,0,70
53,109.109135188,11.8458720506,0,0,0,0,0,70,0,0,0,0
62,0,0,109.108593536,11.847104358,0,0,0,0,0,70,0,0
63,0,0,0,0,109.108873251,11.8464921293,0,0,0,0,0,70
64,109.110094133,11.8435864385,0,0,0,0,0,70,0,0,0,0
54,0,0,109.109187111,11.8457454201,0,0,0,0,0,70,0,0
64,0,0,0,0,109.109638274,11.844664923,0,0,0,0,0,70
65,109.110113972,11.8407122358,0,0,0,0,0,70,0,0,0,0
64,0,0,109.110094133,11.8435864385,0,0,0,0,0,70,0,0
65,0,0,0,0,109.110361,11.8421526582,0,0,0,0,0,70
66,109.110070766,11.8405451304,0,0,0,0,0,70,0,0,0,0
65,0,0,109.110113972,11.8407122358,0,0,0,0,0,70,0,0
66,0,0,0,0,109.110092369,11.8406286831,0,0,0,0,0,70
45,109.109692484,11.8391102327,0,0,0,0,0,70,0,0,0,0
66,0,0,109.110070766,11.8405451304,0,0,0,0,0,70,0,0
67,0,0,0,0,109.10988329,11.83982725,0,0,0,0,0,70
54,109.109111197,11.8457157283,0,0,0,0,0,70,0,0,0,0
45,0,0,109.10961266,11.839131618,0,0,0,0,0,70,0,0
68,0,0,0,0,109.11026824,11.8424906893,0,0,0,0,0,70
25,109.105320029,11.8606462954,0,0,0,0,0,70,0,0,0,0
69,0,0,109.105792274,11.8518937722,0,0,0,0,0,70,0,0
69,0,0,0,0,109.105638585,11.856274292,0,0,0,0,0,70
69,109.105792274,11.8518937722,0,0,0,0,0,70,0,0,0,0
70,0,0,109.108289889,11.8475550426,0,0,0,0,0,70,0,0
70,0,0,0,0,109.106994438,11.8497007585,0,0,0,0,0,70
70,109.108289889,11.8475550426,0,0,0,0,0,70,0,0,0,0
53,0,0,109.109060067,11.8458445948,0,0,0,0,0,70,0,0
71,0,0,0,0,109.108694375,11.8467085624,0,0,0,0,0,70
54,109.109187111,11.8457454201,0,0,0,0,0,70,0,0,0,0
53,0,0,109.109135188,11.8458720506,0,0,0,0,0,70,0,0
72,0,0,0,0,109.10916115,11.8458087354,0,0,0,0,0,70
53,109.109060067,11.8458445948,0,0,0,0,0,70,0,0,0,0
54,0,0,109.109111197,11.8457157283,0,0,0,0,0,70,0,0
73,0,0,0,0,109.109085632,11.8457801615,0,0,0,0,0,70
90,109.110044288,11.8770469174,0,0,0,0,0,70,0,0,0,0
90,0,0,109.110121824,11.8770143526,0,0,0,0,0,70,0,0
90,0,0,0,0,109.110083056,11.877030635,0,0,0,0,0,70
91,109.110342024,11.8776284315,0,0,0,0,0,70,0,0,0,0
91,0,0,109.110732755,11.8787831969,0,0,0,0,0,70,0,0
91,0,0,0,0,109.110537389,11.8782058142,0,0,0,0,0,70
92,109.110276469,11.877445618,0,0,0,0,0,70,0,0,0,0
91,0,0,109.110342024,11.8776284315,0,0,0,0,0,70,0,0
92,0,0,0,0,109.110309246,11.8775370247,0,0,0,0,0,70
90,109.110121824,11.8770143526,0,0,0,0,0,70,0,0,0,0
92,0,0,109.110276469,11.877445618,0,0,0,0,0,70,0,0
93,0,0,0,0,109.110199146,11.8772299853,0,0,0,0,0,70
95,109.110636867,11.8788177968,0,0,0,0,0,70,0,0,0,0
