SegmentID,X1,Y1,X2,Y2,X3,Y3
20327,106.239890000000000,10.400969999999999,106.240129999999990,10.400950000000000,106.240370000000000,10.400940000000000
20328,106.339230000000000,10.412229999999999,106.339160000000010,10.411600000000000,106.339100000000000,10.410970000000001
20348,106.338660000000000,10.406370000000001,106.338660000000000,10.406340000000000,106.338660000000000,10.406300000000000
20349,105.920540000000000,10.338509999999999,105.920350000000000,10.338400000000000,105.920160000000000,10.338300000000000
20350,105.920160000000000,10.338300000000000,105.919500000000000,10.337949999999999,105.918840000000000,10.337610000000000
20351,105.925800000000000,10.341320000000000,105.925560000000000,10.341189999999999,105.925320000000000,10.341060000000001
20352,105.995470000000000,10.362650000000000,105.994680000000000,10.362539999999999,105.993889999999990,10.362430000000000
20353,106.041220000000000,10.371960000000000,106.041180000000000,10.371800000000000,106.041140000000000,10.371639999999999
20354,106.060509999999990,10.410140000000000,106.059929999999990,10.409820000000000,106.059360000000000,10.409509999999999
20355,106.162480000000000,10.403449999999999,106.161750000000000,10.403480000000000,106.161019999999990,10.403510000000001
20356,106.161370000000010,10.403420000000001,106.161739999999990,10.403400000000000,106.162100000000000,10.403390000000000
20357,106.163490000000000,10.403330000000000,106.165660000000000,10.403250000000000,106.167820000000010,10.403160000000000
20358,106.176080000000000,10.403140000000000,106.177460000000000,10.403230000000001,106.178839999999990,10.403320000000001
20359,106.218419999999990,10.406120000000000,106.218059999999990,10.406090000000001,106.217710000000000,10.406070000000000
20360,106.260530000000000,10.399250000000000,106.260020000000000,10.399300000000000,106.259519999999990,10.399400000000000
20361,106.332410000000000,10.385270000000000,106.332510000000000,10.385240000000000,106.332610000000000,10.385220000000000
1,106.758810000000000,10.875280000000000,106.758799999999990,10.875230000000000,106.758790000000000,10.875180000000000
2,106.757130000000000,10.875670000000000,106.756429999999990,10.875810000000000,106.755730000000000,10.875940000000000
3,106.760390000000000,10.874960000000000,106.759680000000000,10.875159999999999,106.758940000000000,10.875310000000001
4,106.761309999999990,10.874660000000000,106.760859999999990,10.874820000000000,106.760390000000000,10.874960000000000
5,106.758900000000000,10.875090000000000,106.759140000000000,10.875040000000000,106.759379999999990,10.874990000000000
6,106.759379999999990,10.874990000000000,106.759660000000000,10.874910000000000,106.759930000000000,10.874840000000001
